KH_id,first_name,last_name,email,gender,phone,tichDiem,tieuPhiTichLuy,rank_id
KH001,Christiano,Poulsum,cpoulsum0@unblog.fr,Male,941-558-3691,91417.34,7522533.34,R001
KH002,Jeramey,Storie,jstorie1@mapy.cz,Male,598-549-6661,24872.45,493336.51,R001
KH003,Pepe,Keymar,pkeymar2@ebay.co.uk,Male,413-344-8251,90038.91,98037031.01,R001
KH004,Chryste,Amthor,camthor3@flickr.com,Female,397-102-5550,79097.49,79180818.13,R001
KH005,Jase,Le Grys,jlegrys4@irs.gov,Male,596-666-4606,90349.25,6653858.48,R001
KH006,Donavon,Symmons,dsymmons5@homestead.com,Male,503-103-1664,9195.73,86852884.7,R001
KH007,Hanna,Pidcock,hpidcock6@addtoany.com,Female,416-317-6373,54010.14,57154245.86,R001
KH008,Selia,Drury,sdrury7@facebook.com,Female,473-296-0700,23030.29,57802653.81,R001
KH009,Rachael,Degenhardt,rdegenhardt8@newsvine.com,Female,426-774-3847,26270.87,26011939.51,R001
KH010,Jared,Kirsopp,jkirsopp9@apple.com,Male,278-278-0039,81791.79,13940898.04,R001
KH011,Matteo,Collcutt,mcollcutta@berkeley.edu,Non-binary,731-432-5165,33459.52,42626086.46,R001
KH012,Pamelina,Mathias,pmathiasb@51.la,Female,675-255-4429,43518.32,73003293.0,R001
KH013,Portia,Blasdale,pblasdalec@about.com,Female,424-605-2737,15026.21,40018365.36,R001
KH014,Ingeberg,Cheale,ichealed@businessweek.com,Female,751-251-4703,9366.87,80065207.69,R001
KH015,Claudia,Dinning,cdinninge@nasa.gov,Female,157-172-5905,78100.29,75005014.39,R001
KH016,Max,Forryan,mforryanf@simplemachines.org,Female,989-968-7320,96573.28,22044679.91,R001
KH017,Cornela,Aylett,caylettg@java.com,Female,566-556-7510,1621.01,82765861.4,R001
KH018,Allene,Layson,alaysonh@biblegateway.com,Female,483-913-9540,96765.87,77647916.27,R001
KH019,Freeman,Heald,fhealdi@flickr.com,Male,304-298-2393,77971.73,51979647.44,R001
KH020,Brewster,Andrzejak,bandrzejakj@linkedin.com,Male,278-818-8599,84956.85,35068997.73,R001

